repo,num_go_files_scanned,num_config_files_scanned,implements_total,interfaces_total,has_any_listener_field,has_any_resource_spec,deploy_hints,todos_found
ServiceWeaver/weaver,376,20,140,155,True,True,"multi,kube,ssh,gke,single",True
bigwhite/experiments,1201,165,7,117,True,False,"kube,multi,gke,single",True
ServiceWeaver/workshops,59,9,24,14,True,False,"multi,kube,single,gke",True
eminetto/microservices-serviceweaver,14,3,4,3,True,False,"multi,single",True
sagoo-cloud/nexframe,340,2,4,57,True,False,single,True
shijuvar/service-weaver,18,3,7,4,True,False,"multi,gke,single",True
wenjinfly/new_it,99,8,4,10,True,False,,True
renanbastos93/weaver-issue-556,4,1,3,2,False,False,,True
thePhenom21/talkative-auth,3,1,2,1,True,False,multi,True
GuidoGrogger/sudocu,6,1,5,4,True,False,single,True
ca-x/raycat,19,3,4,3,True,False,"multi,kube,single,gke",True
wst24365888/simple-auth-sw,5,2,2,2,True,False,multi,False
adonese/weaver,8,4,6,5,True,False,single,True
takkujunjieli/Emojis,10,1,6,5,True,False,"multi,single",True
elbombardi/service_weaver_demo,3,2,2,1,True,False,"multi,single",True
mwhittaker/calculator,56,8,12,31,True,False,"kube,single",True
nathan77886/weaver-ecs,5,1,2,1,True,False,single,True
rpuglielli/microservices-serviceweaver,10,3,3,2,True,False,"multi,single",True
jun3372/weaver,33,5,15,6,True,False,single,True
dvaumoron/puzzleweaver,76,1,14,18,True,False,,True
ServiceWeaver/weaver-kube,19,6,2,1,True,True,"kube,single",True
mafaldacf/weaver-dsb,24,14,13,12,True,False,"multi,gke,single",True
TimLiuDream/go-test,307,10,3,28,True,False,"multi,kube,single",True
pedromol/camelo,11,3,4,3,True,False,"multi,single",True
USC-NSL-DDB/socialnet-serviceweaver,27,4,14,21,True,False,"multi,kube,single",True
XCWeaver/benchmarks,184,2136,96,82,True,True,"multi,kube,ssh,gke,single",True
sagoo-cloud/weaver,321,6,119,139,True,False,"multi,kube,ssh,gke,single",True
iqbaaalll/emojis-task,7,1,4,3,True,False,"multi,single",True
DSC-HSU/codeathon_backend,41,12,6,5,True,False,"multi,kube,single",True
tachunwu/lsd,3,1,2,1,True,False,"multi,single",True
mikepigott/service-weaver-workshops,11,0,5,2,False,False,single,True
claudineijrdev/emojis,6,1,3,2,True,False,"multi,single",True
mendoncas/onlineboutique,36,88,12,11,True,False,"multi,kube,single,gke",True
feefs/laboratory,35,3,2,1,True,False,"multi,single",True
ktfth/rubico,8,4,2,0,False,False,,False
katonium/articles,12,21,5,2,True,False,"multi,kube,single,gke",True
vikaskumar1187/publisher_saasv2,44,11,1,5,True,False,"multi,kube,single",True
totoroyyb/SocialNetwork-serviceweaver,26,3,14,21,True,False,"multi,kube,single",True
Onks-dev/ServiceWeaver,5,1,2,2,True,False,,True
ServiceWeaver/onlineboutique,34,6,11,10,True,False,"multi,gke,single",True
alextanhongpin/go-serviceweaver,3,1,1,1,True,False,,True
TiagoMalhadas/xcweaver,302,8,97,112,True,False,"multi,kube,ssh,gke,single",True
ca-x/cfdog,9,3,2,1,True,False,"multi,kube,single,gke",True
