repo,num_go_files_scanned,num_config_files_scanned,implements_total,interfaces_total,has_any_listener_field,has_any_resource_spec,import_hits,uses_run_or_init_hits,deploy_hints,todos_found
ServiceWeaver/weaver,376,20,140,155,True,True,286,10,"kube,gke,single,multi,ssh",True
bigwhite/experiments,1204,165,7,117,True,False,10,3,"multi,kube,gke,single",True
edmarfelipe/serviceweaver-example,5,1,2,2,False,False,5,1,,True
raissatito/weaver-excercise,6,1,3,2,True,False,5,1,"multi,single",True
ktfth/rubico,8,4,2,0,False,False,3,1,,False
dvaumoron/puzzleweaver,76,1,14,18,True,False,37,2,,True
mafaldacf/weaver-dsb,24,14,13,12,True,False,17,1,"multi,gke,single",True
takkujunjieli/Emojis,10,1,6,5,True,False,8,1,"multi,single",True
wenjinfly/new_it,99,8,4,10,False,False,14,1,,True
mwhittaker/calculator,56,8,12,31,True,False,22,5,"kube,single",True
elbombardi/service_weaver_demo,3,2,2,1,True,False,3,1,"multi,single",True
XCWeaver/benchmarks,184,2136,96,82,True,True,89,10,"kube,gke,single,multi,ssh",True
adonese/weaver,8,4,6,5,True,False,8,1,single,True
tachunwu/lsd,3,1,2,1,True,False,3,1,"multi,single",True
DSC-HSU/codeathon_backend,41,12,6,5,True,False,23,1,"multi,kube,single",True
claudineijrdev/emojis,6,1,3,2,True,False,5,1,"multi,single",True
nathan77886/weaver-ecs,5,1,2,1,True,False,4,1,single,True
Atoo35/gingonic-service-weaver-surrealdb,11,1,3,2,True,False,9,1,"multi,single",True
ServiceWeaver/weaver-kube,19,6,2,1,True,True,14,1,"kube,single",True
TimLiuDream/go-test,307,10,3,28,True,False,9,1,"multi,kube,single",True
mendoncas/onlineboutique,36,88,12,11,True,False,28,1,"multi,kube,gke,single",True
alextanhongpin/restocknotif,27,1,4,8,False,False,11,1,,True
USC-NSL-DDB/socialnet-serviceweaver,27,4,14,21,True,False,20,1,"multi,kube,single",True
GuidoGrogger/sudocu,6,1,5,4,True,False,6,1,single,True
ca-x/raycat,19,3,4,3,True,False,5,1,"multi,kube,gke,single",True
ServiceWeaver/onlineboutique,34,6,11,10,True,False,26,1,"multi,gke,single",True
camilamedeir0s/bookinfo-serviceweaver,10,20,4,3,True,False,10,1,"multi,kube,single",True
wst24365888/simple-auth-sw,5,2,2,2,False,False,4,1,multi,False
totoroyyb/SocialNetwork-serviceweaver,26,3,14,21,True,False,20,1,"multi,kube,single",True
pedromol/camelo,11,3,4,3,True,False,10,1,"multi,single",True
thanhhuy5902/golangT7,20,3,5,4,True,False,16,1,,True
go-swa/swa,88,4,4,15,True,False,30,1,"multi,single",False
k-yomo/service-weaver-practice,4,1,2,2,False,False,4,1,,True
ServiceWeaver/workshops,59,9,24,14,True,False,42,10,"multi,kube,gke,single",True
shijuvar/service-weaver,18,3,7,4,True,False,17,4,"multi,gke,single",True
thePhenom21/talkative-auth,3,1,2,1,True,False,3,1,multi,True
futugyou/goproject-archived,482,26,2,40,False,False,4,1,"multi,single,kube,ssh",True
ServiceWeaver/database,60,9,6,7,True,False,18,1,"multi,ssh,single",True
lemon-mint/weaverutils,3,0,1,1,False,False,2,0,,True
therme/demorepo,2,3,2,1,True,False,2,1,"multi,kube,gke,single",False
guruakashsm/Weaver,3,4,3,2,True,False,3,1,multi,True
DmitryOvchinnikov/blueprint,155,31,1,13,True,False,3,1,"multi,kube,single",True
ivanphanderson/emoji-search,5,1,2,1,True,False,4,1,"multi,single",True
mwhittaker/jeagar,6,2,3,2,True,False,6,1,kube,True
po3rin/go_playground,240,27,1,13,False,False,3,1,single,True
vollee/vollee,3,1,1,1,False,False,3,1,,True
Atoo35/gingonic-service-weaver,6,2,1,0,True,False,2,1,single,False
iqbaaalll/emojis-task,7,1,4,3,True,False,6,1,"multi,single",True
renanbastos93/weaver-issue-556,4,1,3,2,False,False,4,1,,True
kiramishima/shining_guardian,32,1,1,3,True,False,4,2,single,False
vlaship/service_weaver_emojis,4,0,2,1,False,False,3,1,single,False
sagoo-cloud/weaver,321,6,119,139,True,False,16,3,"kube,gke,single,multi,ssh",True
rpuglielli/microservices-serviceweaver,10,3,3,2,True,False,8,1,"multi,single",True
eminetto/microservices-serviceweaver,14,3,4,3,True,False,10,1,"multi,single",True
ipfans/weaverdemo,5,2,2,1,True,False,4,1,"single,ssh",True
lffspaniol/service-weaver-test,3,1,2,1,True,False,3,1,"multi,single",False
katonium/articles,12,21,5,2,True,False,4,3,"multi,kube,gke,single",True
tuurGevers/GoProjects,65,3,2,1,True,False,4,2,"multi,single",True
sagoo-cloud/nexframe,340,2,4,57,True,False,2,0,single,True
kanengo/wdeployer,10,2,4,4,True,False,6,1,"kube,single",False
charlbarrera/google_workshop,5,0,2,1,False,False,4,1,single,True
TiagoMalhadas/xcweaver,302,8,97,112,True,False,61,1,"kube,gke,single,multi,ssh",True
ethanwater/wksp-google-serviceweaver,5,3,3,2,True,False,4,1,"multi,single",True
ktfth/harmony-workspace,9,5,2,1,True,False,7,1,"multi,single",True
ServiceWeaver/weaver-gke,167,5,3,10,True,False,116,1,"multi,kube,gke,single",True
renanbastos93/transaction-routine,18,4,2,2,True,False,10,1,"gke,single",True
ForrestSu/go_learn,289,4,1,15,False,False,2,1,"multi,single",True
Onks-dev/ServiceWeaver,5,1,2,2,False,False,5,1,,True
