repo,is_weaver,independent_deployments_hints,independent_deployments_configs,independent_deployments_score
ServiceWeaver/weaver,True,5,0,5
bigwhite/experiments,True,4,0,4
edmarfelipe/serviceweaver-example,True,0,0,0
raissatito/weaver-excercise,True,2,0,2
ktfth/rubico,True,0,0,0
dvaumoron/puzzleweaver,True,0,0,0
mafaldacf/weaver-dsb,True,3,0,3
takkujunjieli/Emojis,True,2,0,2
wenjinfly/new_it,True,0,0,0
mwhittaker/calculator,True,2,0,2
elbombardi/service_weaver_demo,True,2,0,2
XCWeaver/benchmarks,True,5,0,5
adonese/weaver,True,1,0,1
tachunwu/lsd,True,2,0,2
DSC-HSU/codeathon_backend,True,3,0,3
claudineijrdev/emojis,True,2,0,2
nathan77886/weaver-ecs,True,1,0,1
Atoo35/gingonic-service-weaver-surrealdb,True,2,0,2
ServiceWeaver/weaver-kube,True,2,0,2
TimLiuDream/go-test,True,3,0,3
mendoncas/onlineboutique,True,4,0,4
alextanhongpin/restocknotif,True,0,0,0
USC-NSL-DDB/socialnet-serviceweaver,True,3,0,3
GuidoGrogger/sudocu,True,1,0,1
ca-x/raycat,True,4,0,4
ServiceWeaver/onlineboutique,True,3,0,3
camilamedeir0s/bookinfo-serviceweaver,True,3,0,3
wst24365888/simple-auth-sw,True,1,0,1
totoroyyb/SocialNetwork-serviceweaver,True,3,0,3
pedromol/camelo,True,2,0,2
thanhhuy5902/golangT7,True,0,0,0
go-swa/swa,True,2,0,2
k-yomo/service-weaver-practice,True,0,0,0
ServiceWeaver/workshops,True,4,0,4
shijuvar/service-weaver,True,3,0,3
thePhenom21/talkative-auth,True,1,0,1
futugyou/goproject-archived,True,4,0,4
ServiceWeaver/database,True,3,0,3
lemon-mint/weaverutils,True,0,0,0
therme/demorepo,True,4,0,4
guruakashsm/Weaver,True,1,0,1
DmitryOvchinnikov/blueprint,True,3,0,3
ivanphanderson/emoji-search,True,2,0,2
mwhittaker/jeagar,True,1,0,1
po3rin/go_playground,True,1,0,1
vollee/vollee,True,0,0,0
Atoo35/gingonic-service-weaver,True,1,0,1
iqbaaalll/emojis-task,True,2,0,2
renanbastos93/weaver-issue-556,True,0,0,0
kiramishima/shining_guardian,True,1,0,1
vlaship/service_weaver_emojis,True,1,0,1
sagoo-cloud/weaver,True,5,0,5
rpuglielli/microservices-serviceweaver,True,2,0,2
eminetto/microservices-serviceweaver,True,2,0,2
ipfans/weaverdemo,True,2,0,2
lffspaniol/service-weaver-test,True,2,0,2
katonium/articles,True,4,0,4
tuurGevers/GoProjects,True,2,0,2
sagoo-cloud/nexframe,True,1,0,1
kanengo/wdeployer,True,2,0,2
charlbarrera/google_workshop,True,1,0,1
TiagoMalhadas/xcweaver,True,5,0,5
ethanwater/wksp-google-serviceweaver,True,2,0,2
ktfth/harmony-workspace,True,2,0,2
ServiceWeaver/weaver-gke,True,4,0,4
renanbastos93/transaction-routine,True,2,0,2
ForrestSu/go_learn,True,2,0,2
Onks-dev/ServiceWeaver,True,0,0,0
rgrandl/weaver-app,True,3,0,3
mikepigott/service-weaver-workshops,True,1,0,1
mwhittaker/cloudrun,True,1,0,1
devfullcycle/service-weaver-demo,True,0,0,0
mwhittaker/templates,True,2,0,2
ca-x/cfdog,True,4,0,4
meirongdev/service_weaver_demo,True,1,0,1
alextanhongpin/go-serviceweaver,True,0,0,0
feefs/laboratory,True,2,0,2
asynched/service-weaver-demo,True,0,0,0
vikaskumar1187/publisher_saasv2,True,3,0,3
unknowntpo/playground-2022,True,4,0,4
BEN00262/service-weaver-explo,False,0,0,0
renanbastos93/boneless,False,1,0,1
redviking121/resonOs,False,0,0,0
jun3372/weaver,True,1,0,1
OPEN-NEXT/LOSH-list,False,2,0,2
dvaumoron/puzzletest,False,2,0,2
gcla/logweaver,False,1,0,1
Percona-Lab/stormweaver,False,1,0,1
mendoncas/granularity-evaluation,False,4,0,4
adv-11/python-weaver,False,1,0,1
seanchatmangpt/uvmgr,False,3,0,3
satish-annigeri/MSA,False,0,0,0
camilamedeir0s/online-boutique-service-distributions,False,4,0,4
pserey/monolito-vs-microsservicos,False,4,0,4
XCWeaver/xcweaver,False,5,0,5
